,Goals,Assists,Errors,Ball Turnovers Forced,Contact Turnovers Forced,Beat Turnovers Forced,Resets Forced,ISR Snitch Catches,OSR Snitch Catches,Blue Cards,Yellow Cards,Second Yellow Cards,Straight Red Cards
TEXAS-JOSH JOHNSON,4,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-COLE BURKE,2,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-KASYE BEVERS,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,2,0,0,0,0,0,0,1,0,0,0,0
SHSU-CHRIS DORSEY,1,1,0,0,0,0,0,0,0,0,0,0,0
SHSU-THOMAS MORGAN,1,1,0,0,0,0,0,0,0,0,0,0,0
SHSU-BRANDON KUBENA,1,1,1,1,0,0,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,1,1,1,1,0,0,0,0,0,0,0,0,0
SHSU-KEENAN NASH,1,1,2,0,0,0,0,0,0,0,0,0,0
TEXAS-CAROLINE TAO,1,0,1,0,0,0,0,0,0,0,0,0,0
SHSU-HALEY DUPRE,1,0,3,0,0,0,0,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,1,0,0,0,0,0,0,0,0,0,0,0
SHSU-HAYDEN BOYES,0,1,1,1,0,0,0,0,0,0,0,0,0
TEXAS-DAVIS ROE,0,1,3,0,0,0,0,0,0,0,0,0,0
SHSU-BALDEMAR NUNEZ,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,0,0,3,0,0,0,0,0,0,0,0,0
TEXAS-SAM SELLE,0,0,0,0,0,1,0,0,0,0,0,0,0
SHSU-25,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-GABE OLIVO,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,1,0,0,1,0,0,0,0,0,0,0
