,Goals,Assists,Errors,Ball Turnovers Forced,Contact Turnovers Forced,Beat Turnovers Forced,Resets Forced,ISR Snitch Catches,OSR Snitch Catches,Blue Cards,Yellow Cards,Second Yellow Cards,Straight Red Cards
TEXAS-JOSH JOHNSON,3,1,1,0,0,0,0,0,0,0,0,0,0
TEXAS-KASYE BEVERS,3,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-DAVIS ROE,2,2,1,1,0,0,0,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,2,0,0,0,0,0,0,0,0,0,0,0,0
TXST-MICHAEL GENTEMPO,1,2,0,1,0,0,0,0,0,0,0,0,0
TXST-ERIC REYES,1,1,1,0,0,0,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,1,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-SPENCER FORBES,1,0,0,1,0,0,0,0,0,0,0,0,0
TXST-AMBER BONHOMME,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-MELISSA KITE,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,1,0,1,0,0,0,0,0,0,0,1,0,0
TEXAS-DYLAN BOTTOMS,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,0,1,0,1,0,0,0,0,0,0,0,0,0
TEXAS-22,0,0,0,2,0,0,0,0,0,0,0,0,0
TEXAS-DAVID HUBER,0,0,0,0,0,0,0,0,1,0,1,0,0
TEXAS-JACK WANG,0,0,0,0,0,1,0,0,0,1,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,0,1,1,0,0,0,0,0,0
TEXAS-RICHMOND KEELING,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,0,4,1,0,0,0,0,0,0
TXST-BAILEE FIELDS,0,0,0,0,0,1,1,0,0,0,0,0,0
TXST-BRADLEY HIMES,0,0,0,0,0,3,0,0,0,0,0,0,0
TXST-JESSICA MARKLE,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-JUSTIN DUGIE,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-KRIS DE LA FUENTE,0,0,0,0,0,2,0,0,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-CONNOR ELLSTON,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-MARK MCQUAGE,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-TIM NGUYEN,0,0,1,0,0,0,0,0,0,0,0,0,0
