,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TAMU-CONNOR MCINTYRE,0,1,0,0,1,3,4,0,0,0,0,0,0
UTSA-RENN LEBER,1,1,0,0,0,0,3,0,0,0,0,0,0
UTSA-TYLER ZREET,0,1,0,0,2,0,3,0,0,0,0,0,0
UTSA-MATT BLACKWOOD,2,1,0,0,0,0,2,0,0,0,0,0,0
UTSA-CHRISTIAN CORTEZ,1,1,0,0,0,0,2,0,0,0,0,0,0
UTSA-AVERIE MESSENGER,0,0,0,0,0,0,2,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,0,2,0,0,1,1,2,0,0,0,0,0,0
UTSA-CARLOS PRADO,3,2,0,0,0,1,1,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,0,0,0,0,0,1,1,0,0,0,0,0,0
UTSA-CARSYN DIETZ,0,0,0,0,0,1,1,0,0,0,0,0,0
TAMU-RANDI DORAN,1,0,0,0,0,0,0,0,0,0,0,0,0
UTSA-12,1,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-87,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-ANGELA HEMBREE,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-TYLER PEARSON,0,0,0,0,0,0,0,0,0,0,1,0,1
UTSA-DANIEL WILLIAMS,0,0,3,0,0,0,0,0,0,1,0,0,0
UTSA-NATE SALDIVAR,0,0,1,0,0,0,0,0,0,0,0,0,0
